adult,genre_ids,original_language,original_title,overview,popularity,release_date,vote_average,vote_count,genre_names
False,"[18, 10751, 14]",en,It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",6.2057,1946-12-20,8.3,4534,"['Drama', 'Family', 'Fantasy']"
False,"[16, 18, 10402, 10749]",ja,映画 ギヴン,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",2.0313,2020-08-22,8.276,404,"['Animation', 'Drama', 'Music', 'Romance']"
False,"[16, 878, 28, 18]",ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",6.6076,1997-07-19,8.3,1699,"['Animation', 'Science Fiction', 'Action', 'Drama']"
False,"[18, 35]",fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,12.8856,2011-11-02,8.272,17711,"['Drama', 'Comedy']"
False,"[18, 10752]",en,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",9.9078,1979-05-19,8.3,8551,"['Drama', 'War']"
False,"[16, 10751, 14, 35]",en,Once Upon a Studio,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",3.5778,2023-09-24,8.271,399,"['Animation', 'Family', 'Fantasy', 'Comedy']"
False,"[35, 18, 10749]",en,City Lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,2.6223,1931-02-06,8.3,2289,"['Comedy', 'Drama', 'Romance']"
False,"[18, 53, 80]",fr,Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",1.806,1960-03-18,8.258,512,"['Drama', 'Thriller', 'Crime']"
False,"[10751, 16, 18]",en,The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",17.4573,1994-06-15,8.258,18863,"['Family', 'Animation', 'Drama']"
False,"[10752, 18, 36]",en,Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,8.9702,1957-10-25,8.258,3059,"['War', 'Drama', 'History']"
False,[18],tr,7. Koğuştaki Mucize,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",4.1755,2019-10-10,8.257,4475,['Drama']
False,"[18, 10402]",it,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",3.2023,1998-10-28,8.254,2328,"['Drama', 'Music']"
False,"[18, 53, 9648, 28]",ko,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",14.9802,2003-11-21,8.3,9106,"['Drama', 'Thriller', 'Mystery', 'Action']"
False,"[16, 10749, 18, 14]",ja,青春ブタ野郎はゆめみる少女の夢を見ない,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",3.4459,2019-06-15,8.248,542,"['Animation', 'Romance', 'Drama', 'Fantasy']"
False,"[10402, 18, 10749]",en,Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",3.0667,2020-10-09,8.244,1026,"['Music', 'Drama', 'Romance']"
False,[10402],en,Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",1.1423,2018-12-31,8.243,408,['Music']
False,"[16, 18, 10749]",ja,君の膵臓をたべたい,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",6.0535,2018-09-01,8.2,1638,"['Animation', 'Drama', 'Romance']"
False,"[18, 10749]",en,Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",3.7786,2020-11-27,8.2,1921,"['Drama', 'Romance']"
